epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73.4031,0.94765,0.60167,1.17192,0.97943,0.90007,0.96913,0.65574,1.31792,0.67131,1.50696,0.000848969,0.000848969,0.000848969
43,75.1573,0.89982,0.563,1.09941,0.9508,0.91031,0.95002,0.64225,1.27809,0.82359,1.47621,0.000834822,0.000834822,0.000834822
44,76.8838,0.92657,0.56591,1.12989,0.92059,0.9619,0.96843,0.65928,1.29317,0.63368,1.49672,0.000820675,0.000820675,0.000820675
45,78.6082,0.86861,0.56418,1.11484,0.90682,0.96499,0.96626,0.65575,1.28602,0.63556,1.48626,0.000806528,0.000806528,0.000806528
46,80.3094,0.87912,0.54353,1.11452,0.93509,0.96616,0.97107,0.67491,1.26454,0.63196,1.4463,0.00079238,0.00079238,0.00079238
47,82.0489,0.86736,0.51419,1.1048,0.95303,0.94932,0.96406,0.66304,1.26579,0.6225,1.44544,0.000778233,0.000778233,0.000778233
48,83.7545,0.89213,0.54327,1.11705,0.97184,0.90177,0.97159,0.66643,1.30758,0.63643,1.50459,0.000764086,0.000764086,0.000764086
49,85.4615,0.89875,0.54971,1.15724,0.97635,0.89435,0.96668,0.66505,1.31375,0.65144,1.49382,0.000749939,0.000749939,0.000749939
50,87.1988,0.88773,0.55628,1.15505,0.93734,0.91184,0.96965,0.65708,1.31918,0.6103,1.48951,0.000735792,0.000735792,0.000735792
51,88.9125,0.8959,0.56685,1.13635,0.95301,0.91597,0.95948,0.65081,1.34939,0.67313,1.52357,0.000721645,0.000721645,0.000721645
52,90.6387,0.86948,0.54168,1.10747,0.96502,0.93183,0.96166,0.66365,1.36156,0.66044,1.55357,0.000707498,0.000707498,0.000707498
53,92.3629,0.81922,0.50599,1.07799,0.92829,0.93632,0.96868,0.67665,1.32908,0.66833,1.5372,0.000693351,0.000693351,0.000693351
54,94.1335,0.86999,0.5133,1.14005,0.96163,0.93148,0.97121,0.6665,1.32988,0.66951,1.50606,0.000679204,0.000679204,0.000679204
55,95.8678,0.84273,0.49391,1.09261,0.95796,0.94048,0.97665,0.64261,1.37093,0.71406,1.52625,0.000665057,0.000665057,0.000665057
56,97.6239,0.84374,0.5044,1.09687,0.96194,0.94286,0.96512,0.6487,1.3534,0.71107,1.51804,0.000650909,0.000650909,0.000650909
57,99.3577,0.81374,0.51532,1.11013,0.96841,0.94286,0.96688,0.66834,1.32872,0.72847,1.49218,0.000636762,0.000636762,0.000636762
